Twenty	NUM	twenty
later	ADV	later
,	PUNCT	,
two	NUM	two
thousand	NUM	thousand
miles	NOUN	mile
farther	ADV	far
off	ADV	off
,	PUNCT	,
the	DET	the
_	PUNCT	_
Helvetia	PROPN	Helvetia
_	PUNCT	_
,	PUNCT	,
of	ADP	of
the	DET	the
Compagnie	PROPN	Compagnie
-	PUNCT	-
Nationale	PROPN	Nationale
,	PUNCT	,
and	CCONJ	and
the	DET	the
_	PROPN	_
Shannon	PROPN	Shannon
_	X	_
,	PUNCT	,
of	ADP	of
the	DET	the
Royal	PROPN	Royal
Mail	PROPN	Mail
Steamship	PROPN	Steamship
Company	PROPN	Company
,	PUNCT	,
sailing	VERB	sail
to	ADP	to
windward	ADV	windward
in	ADP	in
that	DET	that
portion	NOUN	portion
of	ADP	of
the	DET	the
Atlantic	PROPN	Atlantic
lying	VERB	lie
between	ADP	between
the	DET	the
United	PROPN	United
States	PROPN	States
and	CCONJ	and
Europe	PROPN	Europe
,	PUNCT	,
respectively	ADV	respectively
signalled	VERB	signal
the	DET	the
monster	NOUN	monster
to	ADP	to
each	DET	each
other	ADJ	other
in	ADP	in
42	NUM	42
°	NUM	°
15′	NUM	15′
N.	PROPN	N.
lat	PROPN	lat
.	PROPN	.
and	CCONJ	and
60	NUM	60
°	NOUN	°
35′	NUM	35′
W.	NOUN	w.
long	ADJ	long
.	PUNCT	.
In	ADP	in
these	DET	these
simultaneous	ADJ	simultaneous
observations	NOUN	observation
they	PRON	they
thought	VERB	think
themselves	PRON	themselves
justified	VERB	justify
in	ADP	in
estimating	VERB	estimate
the	DET	the
minimum	ADJ	minimum
length	NOUN	length
of	ADP	of
the	DET	the
mammal	NOUN	mammal
at	ADP	at
more	ADJ	more
than	ADP	than
three	NUM	three
hundred	NUM	hundred
and	CCONJ	and
fifty	NUM	fifty
feet	NOUN	foot
,	PUNCT	,
as	ADP	as
the	DET	the
_	PROPN	_
Shannon	PROPN	Shannon
_	PUNCT	_
and	CCONJ	and
_	PROPN	_
Helvetia	PROPN	Helvetia
_	PUNCT	_
were	AUX	be
of	ADP	of
smaller	ADJ	small
dimensions	NOUN	dimension
than	ADP	than
it	PRON	it
,	PUNCT	,
though	SCONJ	though
they	PRON	they
measured	VERB	measure
three	NUM	three
hundred	NUM	hundred
feet	NOUN	foot
over	ADP	over
all	DET	all
.	PUNCT	.
Now	ADV	now
the	DET	the
largest	ADJ	large
whales	NOUN	whale
,	PUNCT	,
those	DET	those
which	DET	which
frequent	VERB	frequent
those	DET	those
parts	NOUN	part
of	ADP	of
the	DET	the
sea	NOUN	sea
round	ADP	round
the	DET	the
Aleutian	PROPN	Aleutian
,	PUNCT	,
Kulammak	PROPN	Kulammak
,	PUNCT	,
and	CCONJ	and
Umgullich	PROPN	Umgullich
islands	NOUN	island
,	PUNCT	,
have	AUX	have
never	ADV	never
exceeded	VERB	exceed
the	DET	the
length	NOUN	length
of	ADP	of
sixty	NUM	sixty
yards	NOUN	yard
,	PUNCT	,
if	SCONJ	if
they	PRON	they
attain	VERB	attain
that	DET	that
.	PUNCT	.
These	DET	these
reports	NOUN	report
arriving	VERB	arrive
one	NUM	one
after	ADP	after
the	DET	the
other	ADJ	other
,	PUNCT	,
with	ADP	with
fresh	ADJ	fresh
observations	NOUN	observation
made	VERB	make
on	ADP	on
board	NOUN	board
the	DET	the
transatlantic	ADJ	transatlantic
ship	NOUN	ship
_	SYM	_
Pereire	PROPN	Pereire
_	PUNCT	_
,	PUNCT	,
a	DET	a
collision	NOUN	collision
which	DET	which
occurred	VERB	occur
between	ADP	between
the	DET	the
_	SYM	_
Etna	PROPN	Etna
_	PUNCT	_
of	ADP	of
the	DET	the
