id	title	author	authoryearofbirth	authoryearofdeath	subgenre	historical	scifi	lovestory	detective	downloads	type	subjects	language	length
PG17891	Evelina's Garden	Freeman, Mary Eleanor Wilkins	1852	1930	lovestory	no	no	yes	no	40	Text	{'Love stories', 'New England -- Social life and customs -- Fiction', 'Inheritance and succession -- Fiction'}	['en']	19034
PG63134	Minions of the Crystal Sphere	dePina, Albert		1957	scifi	no	yes	no	no	28	Text	{'Neptune (Planet) -- Fiction', 'Science fiction', 'Space stations -- Fiction'}	['en']	19731
PG33695	X Y Z: A Detective Story	Green, Anna Katharine	1846	1935	detective	no	no	no	yes	36	Text	{'Detective and mystery stories', 'Fiction'}	['en']	19786
PG68425	The power and the glory	Kuttner, Henry	1915	1958	scifi	no	yes	no	no	37	Text	{'Science fiction'}	['en']	20014
PG20649	Oomphel in the Sky	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	86	Text	{'Science fiction'}	['en']	20083
PG56787	7 to 12: A Detective Story	Green, Anna Katharine	1846	1935	detective	no	no	no	yes	61	Text	{'American fiction -- 19th century', 'Detective and mystery stories'}	['en']	20251
PG358	The Scarlet Car	Davis, Richard Harding	1864	1916	lovestory	no	no	yes	no	40	Text	{'Love stories', 'Automobiles -- Fiction', 'Automobile driving -- Fiction', 'Humorous stories'}	['en']	20286
PG42692	An Idyll of All Fools' Day	Bacon, Josephine Daskam	1876	1961	lovestory	no	no	yes	no	33	Text	{'Love stories', 'Humorous stories', "April Fools' Day -- Fiction"}	['en']	20465
PG59112	R.U.R. (Rossum's Universal Robots): A Fantastic Melodrama in Three Acts and an Epilogue	Čapek, Karel	1890	1938	scifi	no	yes	no	no	2387	Text	{'Science fiction plays', 'Robots -- Drama', 'Czech drama -- Translations into English'}	['en']	20581
PG8955	Far Above Rubies	MacDonald, George	1824	1905	lovestory	no	no	yes	no	59	Text	{'Love stories', 'Scotland -- Fiction'}	['en']	20887
PG68554	Rustlers beware!	Chapman, Arthur	1873	1935	lovestory	no	no	yes	no	33	Text	{'Gunfighters -- Fiction', 'Cowboys -- Fiction', 'Love stories', 'Cattle stealing -- Fiction', 'Western stories'}	['en']	20922
PG62713	Crypt-City of the Deathless One	Kuttner, Henry	1915	1958	scifi	no	yes	no	no	56	Text	{'Ganymede (Satellite) -- Fiction', 'Adventure stories', 'Science fiction'}	['en']	21002
PG20661	The Romance of an Old Fool	Field, Roswell Martin	1851	1919	lovestory	no	no	yes	no	43	Text	{'Love stories', 'Fiction'}	['en']	21079
PG68378	Way of the gods	Kuttner, Henry	1915	1958	scifi	no	yes	no	no	64	Text	{'Mutation (Biology) -- Fiction', 'Science fiction', 'Life on other planets -- Fiction', 'Human evolution -- Fiction'}	['en']	21081
PG52913	An Anglo-American Alliance: A Serio-Comic Romance and Forecast of the Future	Casparian, Gregory	1856	1942	scifi	no	yes	no	no	38	Text	{'Science fiction', 'Lesbians -- Fiction'}	['en']	21362
PG66259	The Cosmic Junkman	Phillips, Rog	1909	1965	scifi	no	yes	no	no	39	Text	{'Adventure stories', 'Science fiction', 'Robots -- Fiction'}	['en']	21488
PG62765	The Star Guardsman	dePina, Albert		1957	scifi	no	yes	no	no	60	Text	{'Adventure stories', 'Science fiction'}	['en']	21664
PG50087	The Turning of Griggsby: Being a Story of Keeping up with Dan'l Webster	Bacheller, Irving	1859	1950	lovestory	no	no	yes	no	43	Text	{'Villages -- Fiction', 'Newspaper editors -- Fiction', 'Young women -- Fiction', 'Love stories', 'United States -- Social life and customs -- 19th century -- Fiction', 'Reformers -- Fiction'}	['en']	21909
PG68067	Frank Reade, Jr., with his new steam horse in the great American desert: or, The sandy trail of death	Senarens, Luis	1863	1939	scifi	no	yes	no	no	29	Text	{'Dime novels', 'Adventure stories', 'Inventors -- United States -- Fiction', 'American fiction -- 19th century', 'Popular literature -- United States', 'Science fiction', 'Western stories'}	['en']	21916
PG4439	Vittoria — Volume 5	Meredith, George	1828	1909	historical	yes	no	no	no	9	Text	{'Italy -- History -- Revolution of 1848 -- Fiction', 'War stories', 'Historical fiction'}	['en']	22120
PG66206	Frank Reade, Jr., With His New Steam Man in Central America	Senarens, Luis	1863	1939	scifi	no	yes	no	no	17	Text	{'Dime novels', 'Inventors -- Fiction', 'Science fiction'}	['en']	22175
PG18800	Last Enemy	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	99	Text	{'Science fiction'}	['en']	22262
PG54103	His Little World: The Story of Hunch Badeau	Merwin, Samuel	1874	1936	lovestory	no	no	yes	no	39	Text	{'Schooners -- Fiction', 'Love stories', 'Ship captains -- Fiction', 'Great Lakes (North America) -- Fiction'}	['en']	22525
